Year,Sports_Type,Medal_Won,Sports_Total_Medals,Normalised_Win
2020,Archery,0,15,0.000
2020,Gymnastics,0,55,0.000
2020,Water Sports,32,273,0.117
2020,Athletics,3,144,0.021
2020,Racket Sports,1,45,0.022
2020,Ball Sports,3,54,0.056
2020,Combat Sports,1,284,0.004
2020,Cycling Sports,3,66,0.045
2020,Equestrian,2,18,0.111
2020,Golf,0,6,0.000
2020,Multi-Sports,0,15,0.000
2020,Shooting Sports,0,45,0.000
2020,Action Sports,1,12,0.083
2020,Climbing Sports,0,6,0.000
2020,Weightlifting,0,42,0.000
2016,Archery,1,12,0.083
2016,Gymnastics,0,54,0.000
2016,Water Sports,20,261,0.077
2016,Athletics,2,141,0.014
2016,Racket Sports,0,42,0.000
2016,Ball Sports,1,42,0.024
2016,Combat Sports,0,241,0.000
2016,Cycling Sports,2,54,0.037
2016,Equestrian,1,18,0.056
2016,Golf,0,6,0.000
2016,Multi-Sports,1,12,0.083
2016,Shooting Sports,1,45,0.022
2016,Action Sports,0,0,0.000
2016,Climbing Sports,0,0,0.000
2016,Weightlifting,0,45,0.000
