Year,Sports_Type,Medal_Won,Sports_Total_Medals,Normalised_Win
2020,Archery,0,15,0.000
2020,Gymnastics,0,55,0.000
2020,Water Sports,6,273,0.022
2020,Athletics,1,144,0.007
2020,Racket Sports,0,45,0.000
2020,Ball Sports,6,54,0.111
2020,Combat Sports,15,284,0.053
2020,Cycling Sports,2,66,0.030
2020,Equestrian,1,18,0.056
2020,Golf,0,6,0.000
2020,Multi-Sports,1,15,0.067
2020,Shooting Sports,1,45,0.022
2020,Action Sports,0,12,0.000
2020,Climbing Sports,0,6,0.000
2020,Weightlifting,0,42,0.000
2016,Archery,1,12,0.083
2016,Gymnastics,0,54,0.000
2016,Water Sports,11,261,0.042
2016,Athletics,6,141,0.043
2016,Racket Sports,0,42,0.000
2016,Ball Sports,2,42,0.048
2016,Combat Sports,15,241,0.062
2016,Cycling Sports,1,54,0.019
2016,Equestrian,3,18,0.167
2016,Golf,0,6,0.000
2016,Multi-Sports,1,12,0.083
2016,Shooting Sports,2,45,0.044
2016,Action Sports,0,0,0.000
2016,Climbing Sports,0,0,0.000
2016,Weightlifting,0,45,0.000
