Year,Sports_Type,Medal_Won,Sports_Total_Medals,Normalised_Win
2020,Archery,2,15,0.133
2020,Gymnastics,5,55,0.091
2020,Water Sports,5,273,0.018
2020,Athletics,2,144,0.014
2020,Racket Sports,5,45,0.111
2020,Ball Sports,3,54,0.056
2020,Combat Sports,26,284,0.092
2020,Cycling Sports,1,66,0.015
2020,Equestrian,0,18,0.000
2020,Golf,1,6,0.167
2020,Multi-Sports,0,15,0.000
2020,Shooting Sports,0,45,0.000
2020,Action Sports,5,12,0.417
2020,Climbing Sports,2,6,0.333
2020,Weightlifting,1,42,0.024
2016,Archery,0,12,0.000
2016,Gymnastics,3,54,0.056
2016,Water Sports,10,261,0.038
2016,Athletics,2,141,0.014
2016,Racket Sports,6,42,0.143
2016,Ball Sports,0,42,0.000
2016,Combat Sports,19,241,0.079
2016,Cycling Sports,0,54,0.000
2016,Equestrian,0,18,0.000
2016,Golf,0,6,0.000
2016,Multi-Sports,0,12,0.000
2016,Shooting Sports,0,45,0.000
2016,Action Sports,0,0,0.000
2016,Climbing Sports,0,0,0.000
2016,Weightlifting,1,45,0.022
