Discipline ,Country,Total Medals
3x3 Basketball,United States,1
Archery,United States,0
Artistic Gymnastics,United States,6
Artistic Swimming,United States,0
Athletics,United States,26
Badminton,United States,0
Baseball,United States,1
Basketball,United States,2
Beach Volleyball,United States,1
Boxing,United States,4
Canoe Slalom,United States,0
Canoe Sprint,United States,1
Cycling BMX Freestyle,United States,1
Cycling BMX Racing,United States,0
Cycling Mountain Racing ,United States,0
Cycling Road,United States,0
Cycling Track,United States,2
Diving,United States,3
Equestrian,United States,2
Fencing,United States,2
Football,United States,1
Golf,United States,2
Handball,United States,0
Hockey,United States,0
Judo,United States,0
Karate,United States,1
Marathon Swimming,United States,0
Modern Pentathlon,United States,0
Rhythmic Gymnastics,United States,0
Rowing,United States,0
Rugby Sevens,United States,0
Sailing,United States,0
Shooting,United States,6
Skateboarding,United States,2
Softball,United States,1
Sport Climbing,United States,1
Surfing,United States,1
Swimming,United States,30
Table Tennis,United States,0
Taekwondo,United States,1
Tennis,United States,0
Trampolining,United States,0
Triathlon,United States,2
Volleyball,United States,1
Water Polo,United States,1
Weightlifting,United States,2
Wrestling,United States,9
3x3 Basketball,China,1
Archery,China,0
Artistic Gymnastics,China,8
Artistic Swimming,China,2
Athletics,China,5
Badminton,China,6
Baseball,China,0
Basketball,China,0
Beach Volleyball,China,0
Boxing,China,2
Canoe Slalom,China,0
Canoe Sprint,China,3
Cycling BMX Freestyle,China,0
Cycling BMX Racing,China,0
Cycling Mountain Racing ,China,0
Cycling Road,China,0
Cycling Track,China,1
Diving,China,12
Equestrian,China,0
Fencing,China,1
Football,China,0
Golf,China,0
Handball,China,0
Hockey,China,0
Judo,China,0
Karate,China,2
Marathon Swimming,China,0
Modern Pentathlon,China,0
Rhythmic Gymnastics,China,0
Rowing,China,3
Rugby Sevens,China,0
Sailing,China,2
Shooting,China,11
Skateboarding,China,0
Softball,China,0
Sport Climbing,China,0
Surfing,China,0
Swimming,China,6
Table Tennis,China,7
Taekwondo,China,1
Tennis,China,0
Trampolining,China,3
Triathlon,China,0
Volleyball,China,0
Water Polo,China,0
Weightlifting,China,8
Wrestling,China,4
3x3 Basketball,Australia,0
Archery,Australia,0
Artistic Gymnastics,Australia,0
Artistic Swimming,Australia,0
Athletics,Australia,3
Badminton,Australia,0
Baseball,Australia,0
Basketball,Australia,1
Beach Volleyball,Australia,1
Boxing,Australia,1
Canoe Slalom,Australia,2
Canoe Sprint,Australia,1
Cycling BMX Freestyle,Australia,1
Cycling BMX Racing,Australia,0
Cycling Mountain Racing ,Australia,0
Cycling Road,Australia,1
Cycling Track,Australia,1
Diving,Australia,1
Equestrian,Australia,2
Fencing,Australia,0
Football,Australia,0
Golf,Australia,0
Handball,Australia,0
Hockey,Australia,1
Judo,Australia,0
Karate,Australia,0
Marathon Swimming,Australia,1
Modern Pentathlon,Australia,0
Rhythmic Gymnastics,Australia,0
Rowing,Australia,4
Rugby Sevens,Australia,0
Sailing,Australia,2
Shooting,Australia,0
Skateboarding,Australia,1
Softball,Australia,0
Sport Climbing,Australia,0
Surfing,Australia,1
Swimming,Australia,20
Table Tennis,Australia,0
Taekwondo,Australia,0
Tennis,Australia,1
Trampolining,Australia,0
Triathlon,Australia,0
Volleyball,Australia,0
Water Polo,Australia,0
Weightlifting,Australia,0
Wrestling,Australia,0
