Year,Country,Number of Medals,Rank
2020,United States,113,1
2020,People's Republic of China,88,2
2020,ROC,71,3
2020,Great Britain,64,4
2020,Japan,58,5
2020,Australia,46,6
2020,Italy,40,7
2020,Germany,37,8
2020,Netherlands,36,9
2020,France,33,10
2016,United States,121,1
2016,People's Republic of China,70,2
2016,Great Britain,67,3
2016,Russian Federation,56,4
2016,Germany,42,5
2016,France,42,6
2016,Japan,41,7
2016,Australia,29,8
2016,Italy,28,9
2016,Canada,22,10
2012,United States,104,1
2012,People's Republic of China,91,2
2012,Great Britain,65,3
2012,Russian Federation,65,4
2012,Germany,44,5
2012,Japan,38,6
2012,France,35,7
2012,Australia,35,8
2012,Republic of Korea,30,9
2012,Italy,28,10
2008,United States,112,1
2008,People's Republic of China,100,2
2008,Russian Federation,60,3
2008,Great Britain,51,4
2008,Australia,46,5
2008,France,43,6
2008,Germany,41,7
2008,Republic of Korea,32,8
2008,Cuba,30,9
2008,Italy,27,10
2004,United States,101,1
2004,Russian Federation,90,2
2004,People's Republic of China,63,3
2004,Australia,50,4
2004,Germany,49,5
2004,Japan,37,6
2004,France,33,7
2004,Italy,32,8
2004,Republic of Korea,30,9
2004,Great Britain,30,10
